Question,Image,Option A,Option B,Option C,Option D,Option E,Answer,Difficulty,Topic,Type,Ref
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,84,340,256,330,64,340,46,Sequences,Text,P2Q46_22
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,625,100,155,830,780,780,46,Sequences,Text,P2Q46_23
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,84,20,104,48,64,84,46,Sequences,Text,P2Q46_24
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,39,36,170,120,81,120,46,Sequences,Text,P2Q46_25
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,64,350,84,340,256,340,46,Sequences,Text,P2Q46_26
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,20,14,50,30,16,30,46,Sequences,Text,P2Q46_27
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,24,14,12,6,8,14,46,Sequences,Text,P2Q46_28
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,75,125,155,30,175,155,46,Sequences,Text,P2Q46_29
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,14,24,6,12,8,14,46,Sequences,Text,P2Q46_30
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,30,40,16,40,14,30,46,Sequences,Text,P2Q46_31
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,800,155,100,625,780,780,46,Sequences,Text,P2Q46_32
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,94,20,84,64,48,84,46,Sequences,Text,P2Q46_33
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,780,625,155,100,800,780,46,Sequences,Text,P2Q46_34
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,120,170,36,81,39,120,46,Sequences,Text,P2Q46_35
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,780,100,155,625,770,780,46,Sequences,Text,P2Q46_36
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,780,625,100,155,800,780,46,Sequences,Text,P2Q46_37
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,34,12,8,14,6,14,46,Sequences,Text,P2Q46_38
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,125,155,75,30,205,155,46,Sequences,Text,P2Q46_39
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,104,20,64,48,84,84,46,Sequences,Text,P2Q46_40
"On day 1, 2 people are sent an email. On day 2, each of the 2 send it to 2 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,20,14,30,16,20,30,46,Sequences,Text,P2Q46_41
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,39,12,49,59,27,39,46,Sequences,Text,P2Q46_42
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,27,89,39,29,12,39,46,Sequences,Text,P2Q46_43
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,145,75,155,30,125,155,46,Sequences,Text,P2Q46_44
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 3?",,29,39,12,27,59,39,46,Sequences,Text,P2Q46_45
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,256,84,330,64,340,340,46,Sequences,Text,P2Q46_46
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,120,36,130,39,81,120,46,Sequences,Text,P2Q46_47
"On day 1, 3 people are sent an email. On day 2, each of the 3 send it to 3 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,120,81,39,36,170,120,46,Sequences,Text,P2Q46_48
"On day 1, 4 people are sent an email. On day 2, each of the 4 send it to 4 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,64,340,256,84,350,340,46,Sequences,Text,P2Q46_49
"On day 1, 5 people are sent an email. On day 2, each of the 5 send it to 5 more people, and so on. Each person sends the email just once. How many people have received the email by day 4?",,155,625,780,100,800,780,46,Sequences,Text,P2Q46_50
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 4 feet 1 inches tall.
Which is closest to their height in metres?",,1.2 m,1.5 m,1.4 m,1.3 m,1.1 m,1.2 m,46,Measures - Conversion,Multiple Choice,P4Q46_1
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 4 feet 9 inches tall.
Which is closest to their height in metres?",,1.7 m,1.4 m,1.2 m,1.5 m,1.3 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_2
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 6 feet 10 inches tall.
Which is closest to their height in metres?",,2.4 m,1.8 m,2.0 m,2.2 m,2.1 m,2.1 m,46,Measures - Conversion,Multiple Choice,P4Q46_3
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 6 feet 7 inches tall.
Which is closest to their height in metres?",,2.1 m,1.8 m,1.9 m,2.0 m,2.3 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_4
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 9 inches tall.
Which is closest to their height in metres?",,1.5 m,1.7 m,1.2 m,1.3 m,1.4 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_5
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 4 feet 6 inches tall.
Which is closest to their height in metres?",,1.4 m,1.3 m,1.2 m,1.5 m,1.7 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_6
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 7 inches tall.
Which is closest to their height in metres?",,1.2 m,1.5 m,1.3 m,1.4 m,1.7 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_7
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 5 feet 2 inches tall.
Which is closest to their height in metres?",,1.5 m,1.7 m,1.5 m,1.6 m,1.9 m,1.6 m,46,Measures - Conversion,Multiple Choice,P4Q46_8
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 4 feet 9 inches tall.
Which is closest to their height in metres?",,1.2 m,1.7 m,1.5 m,1.4 m,1.3 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_9
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 5 feet 5 inches tall.
Which is closest to their height in metres?",,1.5 m,1.9 m,1.8 m,1.6 m,1.5 m,1.6 m,46,Measures - Conversion,Multiple Choice,P4Q46_10
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 0 inches tall.
Which is closest to their height in metres?",,1.5 m,1.3 m,1.8 m,1.2 m,1.1 m,1.2 m,46,Measures - Conversion,Multiple Choice,P4Q46_11
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 6 feet 4 inches tall.
Which is closest to their height in metres?",,1.8 m,2.2 m,2.0 m,1.9 m,1.4 m,1.9 m,46,Measures - Conversion,Multiple Choice,P4Q46_12
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 4 feet 11 inches tall.
Which is closest to their height in metres?",,1.8 m,1.4 m,1.2 m,1.5 m,1.6 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_13
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 4 feet 11 inches tall.
Which is closest to their height in metres?",,1.5 m,1.2 m,1.8 m,1.4 m,1.6 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_14
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 4 feet 7 inches tall.
Which is closest to their height in metres?",,1.2 m,1.7 m,1.4 m,1.5 m,1.3 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_15
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 5 feet 0 inches tall.
Which is closest to their height in metres?",,1.5 m,1.8 m,1.6 m,1.3 m,1.4 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_16
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 6 feet 1 inches tall.
Which is closest to their height in metres?",,1.3 m,2.0 m,2.2 m,1.8 m,1.9 m,1.9 m,46,Measures - Conversion,Multiple Choice,P4Q46_17
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 6 feet 6 inches tall.
Which is closest to their height in metres?",,1.8 m,2.1 m,1.9 m,2.0 m,2.3 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_18
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 6 feet 7 inches tall.
Which is closest to their height in metres?",,2.3 m,2.1 m,1.8 m,2.0 m,1.9 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_19
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 4 feet 2 inches tall.
Which is closest to their height in metres?",,1.3 m,1.3 m,1.2 m,1.6 m,1.4 m,1.3 m,46,Measures - Conversion,Multiple Choice,P4Q46_20
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 4 feet 2 inches tall.
Which is closest to their height in metres?",,1.6 m,1.9 m,1.3 m,1.2 m,1.4 m,1.3 m,46,Measures - Conversion,Multiple Choice,P4Q46_21
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 5 feet 3 inches tall.
Which is closest to their height in metres?",,1.7 m,1.6 m,1.6 m,1.9 m,1.5 m,1.6 m,46,Measures - Conversion,Multiple Choice,P4Q46_22
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 6 feet 6 inches tall.
Which is closest to their height in metres?",,1.9 m,2.0 m,2.3 m,1.8 m,2.1 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_23
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 6 feet 6 inches tall.
Which is closest to their height in metres?",,2.0 m,2.1 m,1.9 m,1.8 m,2.3 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_24
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 5 feet 0 inches tall.
Which is closest to their height in metres?",,1.6 m,1.5 m,1.4 m,1.8 m,1.7 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_25
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 6 feet 4 inches tall.
Which is closest to their height in metres?",,2.2 m,2.0 m,1.3 m,1.8 m,1.9 m,1.9 m,46,Measures - Conversion,Multiple Choice,P4Q46_26
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 8 inches tall.
Which is closest to their height in metres?",,1.7 m,1.3 m,1.2 m,1.4 m,1.5 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_27
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 5 inches tall.
Which is closest to their height in metres?",,1.4 m,1.3 m,1.2 m,1.6 m,1.6 m,1.3 m,46,Measures - Conversion,Multiple Choice,P4Q46_28
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 6 feet 2 inches tall.
Which is closest to their height in metres?",,2.2 m,1.9 m,2.0 m,1.8 m,1.6 m,1.9 m,46,Measures - Conversion,Multiple Choice,P4Q46_29
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 4 feet 6 inches tall.
Which is closest to their height in metres?",,1.7 m,1.2 m,1.5 m,1.4 m,1.3 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_30
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 6 feet 11 inches tall.
Which is closest to their height in metres?",,2.1 m,2.2 m,1.8 m,2.4 m,2.0 m,2.1 m,46,Measures - Conversion,Multiple Choice,P4Q46_31
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 4 feet 0 inches tall.
Which is closest to their height in metres?",,1.7 m,1.5 m,1.1 m,1.3 m,1.2 m,1.2 m,46,Measures - Conversion,Multiple Choice,P4Q46_32
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 6 feet 9 inches tall.
Which is closest to their height in metres?",,2.1 m,2.0 m,2.2 m,1.8 m,2.4 m,2.1 m,46,Measures - Conversion,Multiple Choice,P4Q46_33
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 10 inches tall.
Which is closest to their height in metres?",,1.6 m,1.8 m,1.2 m,1.5 m,1.4 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_34
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 5 feet 10 inches tall.
Which is closest to their height in metres?",,1.7 m,1.8 m,1.5 m,2.1 m,1.9 m,1.8 m,46,Measures - Conversion,Multiple Choice,P4Q46_35
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 4 feet 7 inches tall.
Which is closest to their height in metres?",,1.2 m,1.3 m,1.7 m,1.4 m,1.5 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_36
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 6 feet 0 inches tall.
Which is closest to their height in metres?",,1.9 m,2.1 m,1.5 m,1.7 m,1.8 m,1.8 m,46,Measures - Conversion,Multiple Choice,P4Q46_37
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 5 feet 8 inches tall.
Which is closest to their height in metres?",,1.6 m,1.7 m,2.0 m,1.5 m,1.8 m,1.7 m,46,Measures - Conversion,Multiple Choice,P4Q46_38
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 5 feet 8 inches tall.
Which is closest to their height in metres?",,1.5 m,2.0 m,1.6 m,1.8 m,1.7 m,1.7 m,46,Measures - Conversion,Multiple Choice,P4Q46_39
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 6 feet 0 inches tall.
Which is closest to their height in metres?",,1.7 m,1.5 m,2.1 m,1.8 m,1.9 m,1.8 m,46,Measures - Conversion,Multiple Choice,P4Q46_40
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Emily is 4 feet 5 inches tall.
Which is closest to their height in metres?",,1.2 m,1.4 m,1.3 m,1.6 m,1.4 m,1.3 m,46,Measures - Conversion,Multiple Choice,P4Q46_41
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 1 inches tall.
Which is closest to their height in metres?",,1.2 m,1.3 m,1.2 m,1.5 m,1.1 m,1.2 m,46,Measures - Conversion,Multiple Choice,P4Q46_42
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
John is 4 feet 8 inches tall.
Which is closest to their height in metres?",,1.5 m,1.4 m,1.3 m,1.2 m,1.7 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_43
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 6 feet 11 inches tall.
Which is closest to their height in metres?",,2.2 m,2.4 m,2.0 m,1.8 m,2.1 m,2.1 m,46,Measures - Conversion,Multiple Choice,P4Q46_44
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 5 feet 6 inches tall.
Which is closest to their height in metres?",,1.5 m,1.6 m,2.0 m,1.7 m,1.8 m,1.7 m,46,Measures - Conversion,Multiple Choice,P4Q46_45
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 4 feet 8 inches tall.
Which is closest to their height in metres?",,1.4 m,1.3 m,1.2 m,1.7 m,1.5 m,1.4 m,46,Measures - Conversion,Multiple Choice,P4Q46_46
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Patrick is 4 feet 11 inches tall.
Which is closest to their height in metres?",,1.5 m,1.4 m,1.8 m,1.2 m,1.6 m,1.5 m,46,Measures - Conversion,Multiple Choice,P4Q46_47
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 6 feet 6 inches tall.
Which is closest to their height in metres?",,2.0 m,1.8 m,2.1 m,1.9 m,2.3 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_48
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Tom is 6 feet 8 inches tall.
Which is closest to their height in metres?",,1.8 m,1.9 m,2.3 m,2.1 m,2.0 m,2.0 m,46,Measures - Conversion,Multiple Choice,P4Q46_49
"1 foot is about 0.305 metres and 1 inch is about 0.025 metres.
Sarah is 6 feet 2 inches tall.
Which is closest to their height in metres?",,1.9 m,2.0 m,1.8 m,2.2 m,1.8 m,1.9 m,46,Measures - Conversion,Multiple Choice,P4Q46_50
Dr Taylor compares the price of the same tyres at five shops. Which shop gives the cheapest cost per tyre?,P3Q47_img_1.png,A,B,C,D,E,D,47,Best Value,Multiple Choice,P3Q47_1
Mr Cooper compares the price of the same dining chairs at five shops. Which shop gives the cheapest cost per dining chair?,P3Q47_img_2.png,A,B,C,D,E,D,47,Best Value,Multiple Choice,P3Q47_2
Ms Green compares the price of the same tyres at five shops. Which shop gives the cheapest cost per tyre?,P3Q47_img_3.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_3
Miss Patel compares the price of the same towels at five shops. Which shop gives the cheapest cost per towel?,P3Q47_img_4.png,A,B,C,D,E,B,47,Best Value,Multiple Choice,P3Q47_4
Dr Taylor compares the price of the same dining chairs at five shops. Which shop gives the cheapest cost per dining chair?,P3Q47_img_5.png,A,B,C,D,E,B,47,Best Value,Multiple Choice,P3Q47_5
Mr Wilson compares the price of the same cushions at five shops. Which shop gives the cheapest cost per cushion?,P3Q47_img_6.png,A,B,C,D,E,B,47,Best Value,Multiple Choice,P3Q47_6
Mrs Brown compares the price of the same tyres at five shops. Which shop gives the cheapest cost per tyre?,P3Q47_img_7.png,A,B,C,D,E,A,47,Best Value,Multiple Choice,P3Q47_7
Mrs Smith compares the price of the same lamp shades at five shops. Which shop gives the cheapest cost per lamp shade?,P3Q47_img_8.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_8
Miss Patel compares the price of the same towels at five shops. Which shop gives the cheapest cost per towel?,P3Q47_img_9.png,A,B,C,D,E,D,47,Best Value,Multiple Choice,P3Q47_9
Mr Jones compares the price of the same lamp shades at five shops. Which shop gives the cheapest cost per lamp shade?,P3Q47_img_10.png,A,B,C,D,E,A,47,Best Value,Multiple Choice,P3Q47_10
Mr Jones compares the price of the same tyres at five shops. Which shop gives the cheapest cost per tyre?,P3Q47_img_11.png,A,B,C,D,E,D,47,Best Value,Multiple Choice,P3Q47_11
Mr Cooper compares the price of the same lamp shades at five shops. Which shop gives the cheapest cost per lamp shade?,P3Q47_img_12.png,A,B,C,D,E,E,47,Best Value,Multiple Choice,P3Q47_12
Mr Cooper compares the price of the same cushions at five shops. Which shop gives the cheapest cost per cushion?,P3Q47_img_13.png,A,B,C,D,E,E,47,Best Value,Multiple Choice,P3Q47_13
Mr Wilson compares the price of the same cushions at five shops. Which shop gives the cheapest cost per cushion?,P3Q47_img_14.png,A,B,C,D,E,B,47,Best Value,Multiple Choice,P3Q47_14
Ms Green compares the price of the same lamp shades at five shops. Which shop gives the cheapest cost per lamp shade?,P3Q47_img_15.png,A,B,C,D,E,B,47,Best Value,Multiple Choice,P3Q47_15
Mr Jones compares the price of the same towels at five shops. Which shop gives the cheapest cost per towel?,P3Q47_img_16.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_16
Mrs Brown compares the price of the same curtains at five shops. Which shop gives the cheapest cost per curtain?,P3Q47_img_17.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_17
Mrs Brown compares the price of the same window blinds at five shops. Which shop gives the cheapest cost per window blind?,P3Q47_img_18.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_18
Mr Cooper compares the price of the same curtains at five shops. Which shop gives the cheapest cost per curtain?,P3Q47_img_19.png,A,B,C,D,E,C,47,Best Value,Multiple Choice,P3Q47_19
Mrs Brown compares the price of the same towels at five shops. Which shop gives the cheapest cost per towel?,P3Q47_img_20.png,A,B,C,D,E,A,47,Best Value,Multiple Choice,P3Q47_20
"Sam gets £30.00 pocket money each month from parents.
Sam also gets £10.00 each week from a paper round.
How much money does Sam get in one year?",,£520.00,£360.00,£880.00,£840.00,£480.00,£880.00,47,Money,Multiple Choice,P4Q47_1
"Jessica gets £20.00 pocket money each month from parents.
Jessica also gets £9.50 each week from a paper round.
How much money does Jessica get in one year?",,£696.00,£354.00,£734.00,£494.00,£240.00,£734.00,47,Money,Multiple Choice,P4Q47_2
"Sam gets £30.00 pocket money each month from parents.
Sam also gets £12.50 each week from a paper round.
How much money does Sam get in one year?",,£960.00,£650.00,£510.00,£1010.00,£360.00,£1010.00,47,Money,Multiple Choice,P4Q47_3
"Alice gets £10.00 pocket money each month from parents.
Alice also gets £8.00 each week from a paper round.
How much money does Alice get in one year?",,£416.00,£504.00,£216.00,£536.00,£120.00,£536.00,47,Money,Multiple Choice,P4Q47_4
"Ben gets £20.00 pocket money each month from parents.
Ben also gets £5.50 each week from a paper round.
How much money does Ben get in one year?",,£504.00,£306.00,£286.00,£240.00,£526.00,£526.00,47,Money,Multiple Choice,P4Q47_5
"Alice gets £25.00 pocket money each month from parents.
Alice also gets £10.00 each week from a paper round.
How much money does Alice get in one year?",,£520.00,£420.00,£780.00,£820.00,£300.00,£820.00,47,Money,Multiple Choice,P4Q47_6
"Jessica gets £10.00 pocket money each month from parents.
Jessica also gets £9.50 each week from a paper round.
How much money does Jessica get in one year?",,£120.00,£494.00,£614.00,£234.00,£576.00,£614.00,47,Money,Multiple Choice,P4Q47_7
"Sam gets £20.00 pocket money each month from parents.
Sam also gets £8.00 each week from a paper round.
How much money does Sam get in one year?",,£416.00,£336.00,£240.00,£624.00,£656.00,£656.00,47,Money,Multiple Choice,P4Q47_8
"Ben gets £15.00 pocket money each month from parents.
Ben also gets £5.50 each week from a paper round.
How much money does Ben get in one year?",,£444.00,£466.00,£246.00,£180.00,£286.00,£466.00,47,Money,Multiple Choice,P4Q47_9
"Alice gets £20.00 pocket money each month from parents.
Alice also gets £12.50 each week from a paper round.
How much money does Alice get in one year?",,£240.00,£650.00,£840.00,£390.00,£890.00,£890.00,47,Money,Multiple Choice,P4Q47_10
"Ben gets £10.00 pocket money each month from parents.
Ben also gets £12.50 each week from a paper round.
How much money does Ben get in one year?",,£720.00,£120.00,£770.00,£650.00,£270.00,£770.00,47,Money,Multiple Choice,P4Q47_11
"Alice gets £10.00 pocket money each month from parents.
Alice also gets £15.00 each week from a paper round.
How much money does Alice get in one year?",,£840.00,£300.00,£120.00,£780.00,£900.00,£900.00,47,Money,Multiple Choice,P4Q47_12
"Alice gets £10.00 pocket money each month from parents.
Alice also gets £10.00 each week from a paper round.
How much money does Alice get in one year?",,£240.00,£520.00,£640.00,£600.00,£120.00,£640.00,47,Money,Multiple Choice,P4Q47_13
"Ben gets £30.00 pocket money each month from parents.
Ben also gets £9.50 each week from a paper round.
How much money does Ben get in one year?",,£816.00,£474.00,£494.00,£854.00,£360.00,£854.00,47,Money,Multiple Choice,P4Q47_14
"Sam gets £20.00 pocket money each month from parents.
Sam also gets £12.50 each week from a paper round.
How much money does Sam get in one year?",,£240.00,£840.00,£650.00,£890.00,£390.00,£890.00,47,Money,Multiple Choice,P4Q47_15
"Sam gets £15.00 pocket money each month from parents.
Sam also gets £12.50 each week from a paper round.
How much money does Sam get in one year?",,£830.00,£780.00,£330.00,£180.00,£650.00,£830.00,47,Money,Multiple Choice,P4Q47_16
"Ben gets £25.00 pocket money each month from parents.
Ben also gets £9.50 each week from a paper round.
How much money does Ben get in one year?",,£794.00,£300.00,£414.00,£494.00,£756.00,£794.00,47,Money,Multiple Choice,P4Q47_17
"Sam gets £30.00 pocket money each month from parents.
Sam also gets £10.00 each week from a paper round.
How much money does Sam get in one year?",,£520.00,£480.00,£840.00,£880.00,£360.00,£880.00,47,Money,Multiple Choice,P4Q47_18
"Sam gets £10.00 pocket money each month from parents.
Sam also gets £12.50 each week from a paper round.
How much money does Sam get in one year?",,£720.00,£770.00,£650.00,£120.00,£270.00,£770.00,47,Money,Multiple Choice,P4Q47_19
"Jessica gets £15.00 pocket money each month from parents.
Jessica also gets £9.50 each week from a paper round.
How much money does Jessica get in one year?",,£180.00,£494.00,£636.00,£294.00,£674.00,£674.00,47,Money,Multiple Choice,P4Q47_20
"Ben gets £10.00 pocket money each month from parents.
Ben also gets £10.00 each week from a paper round.
How much money does Ben get in one year?",,£120.00,£240.00,£640.00,£520.00,£600.00,£640.00,47,Money,Multiple Choice,P4Q47_21
"Jessica gets £10.00 pocket money each month from parents.
Jessica also gets £9.50 each week from a paper round.
How much money does Jessica get in one year?",,£494.00,£234.00,£614.00,£576.00,£120.00,£614.00,47,Money,Multiple Choice,P4Q47_22
"Alice gets £30.00 pocket money each month from parents.
Alice also gets £5.50 each week from a paper round.
How much money does Alice get in one year?",,£426.00,£360.00,£286.00,£624.00,£646.00,£646.00,47,Money,Multiple Choice,P4Q47_23
"Sam gets £30.00 pocket money each month from parents.
Sam also gets £15.00 each week from a paper round.
How much money does Sam get in one year?",,£540.00,£1080.00,£1140.00,£360.00,£780.00,£1140.00,47,Money,Multiple Choice,P4Q47_24
"Jessica gets £10.00 pocket money each month from parents.
Jessica also gets £12.50 each week from a paper round.
How much money does Jessica get in one year?",,£770.00,£270.00,£120.00,£650.00,£720.00,£770.00,47,Money,Multiple Choice,P4Q47_25
"Alice gets £25.00 pocket money each month from parents.
Alice also gets £12.50 each week from a paper round.
How much money does Alice get in one year?",,£300.00,£900.00,£950.00,£450.00,£650.00,£950.00,47,Money,Multiple Choice,P4Q47_26
"Ben gets £10.00 pocket money each month from parents.
Ben also gets £12.50 each week from a paper round.
How much money does Ben get in one year?",,£120.00,£720.00,£770.00,£650.00,£270.00,£770.00,47,Money,Multiple Choice,P4Q47_27
"Alice gets £10.00 pocket money each month from parents.
Alice also gets £5.50 each week from a paper round.
How much money does Alice get in one year?",,£406.00,£186.00,£286.00,£120.00,£384.00,£406.00,47,Money,Multiple Choice,P4Q47_28
"Ben gets £30.00 pocket money each month from parents.
Ben also gets £12.50 each week from a paper round.
How much money does Ben get in one year?",,£510.00,£1010.00,£360.00,£650.00,£960.00,£1010.00,47,Money,Multiple Choice,P4Q47_29
